Category	Ticker	Date	Open	Close	High	Low	AggrPercent
Tech	GOOGL	2022-06-06	116.704498	116.820503	119.347	116.164001	0.0994
Tech	GOOGL	2022-06-07	115.480499	117.149498	117.691002	115.052002	1.4453
Tech	GOOGL	2022-06-08	116.761497	117.194	118.570503	116.599998	0.3704
Tech	GOOGL	2022-06-09	116.327499	114.835503	118.299004	114.776001	-1.2826
Tech	GOOGL	2022-06-10	112.445	111.161499	113.278999	110.365997	-1.1414
Tech	GOOGL	2022-06-11	109.62	108.78	111.04	108.24	-0.7663
Tech	GOOGL	2022-06-12	108.2	107.59	109.92	107.18	-0.5638
Tech	GOOGL	2022-06-13	106.786499	106.392502	108.791496	106.119003	-0.369
Tech	GOOGL	2022-06-14	106.535004	106.7155	107.9245	105.800003	0.1694
Tech	GOOGL	2022-06-15	108.544998	109.764503	111.4235	107.669502	1.1235
Tech	GOOGL	2022-06-16	107.221001	106.033501	108.648499	105.138	-1.1075
Tech	GOOGL	2022-06-17	106.033501	107.143501	108.699501	105.045998	1.0468
Tech	GOOGL	2022-06-18	107.48	109.34	110.59	106.82	1.7306
Tech	GOOGL	2022-06-19	108.2	110.44	111.54	107.71	2.0702
Tech	GOOGL	2022-06-20	108.56	110.99	112.01	108.15	2.2384
Tech	GOOGL	2022-06-21	108.929497	111.543999	112.489502	108.599998	2.4002
Tech	GOOGL	2022-06-22	110.556503	111.487503	113.346497	110.3825	0.8421
Tech	GOOGL	2022-06-23	112.231499	112.241997	112.7425	110.500504	0.0094
Tech	GOOGL	2022-06-24	112.995003	117.974998	118.079002	112.952499	4.4073
Tech	GOOGL	2022-06-25	115.63	116.9	118.33	114.07	1.0983
Tech	GOOGL	2022-06-26	116.95	116.37	118.45	114.62	-0.4959
Tech	GOOGL	2022-06-27	118.273003	115.833504	118.579498	115.179497	-2.0626
Tech	GOOGL	2022-06-28	115.802498	112.0075	117.309502	111.848	-3.2771
Tech	GOOGL	2022-06-29	111.552002	111.7015	113.1605	110.872498	0.134
Tech	GOOGL	2022-06-30	110.0	108.962997	110.888	106.75	-0.9427
Tech	GOOGL	2022-07-01	107.932999	108.737503	109.25	106.730499	0.7454
Tech	GOOGL	2022-07-02	107.52	111.0	111.31	106.23	3.2366
Tech	GOOGL	2022-07-03	107.31	112.13	112.34	105.98	4.4917
Tech	GOOGL	2022-07-04	107.21	112.7	112.86	105.86	5.1208
Tech	GOOGL	2022-07-05	107.100502	113.263	113.376999	105.731499	5.7539
Tech	GOOGL	2022-07-06	113.302002	114.571999	115.5895	111.475998	1.1209
Tech	GOOGL	2022-07-07	115.080002	118.782997	119.189499	114.833504	3.2178
Tech	GOOGL	2022-07-08	117.25	119.3535	119.684998	116.901497	1.794
Tech	GOOGL	2022-07-09	117.62	117.51	118.84	116.12	-0.0935
Tech	GOOGL	2022-07-10	117.81	116.59	118.42	115.73	-1.0356
